class_i,class_j,mmd
0,0,0.0
0,1,0.015639901161193848
0,2,0.010735094547271729
0,3,0.011149406433105469
0,4,0.01572948694229126
0,5,0.01415163278579712
0,6,0.020300567150115967
0,7,0.012114882469177246
0,8,0.013221144676208496
0,9,0.014663934707641602
1,0,0.015639901161193848
1,1,0.0
1,2,0.012189388275146484
1,3,0.008874297142028809
1,4,0.01815098524093628
1,5,0.010336101055145264
1,6,0.016348719596862793
1,7,0.00944364070892334
1,8,0.015639841556549072
1,9,0.00783306360244751
2,0,0.010735094547271729
2,1,0.012189388275146484
2,2,0.0
2,3,0.004520833492279053
2,4,0.00746077299118042
2,5,0.007954776287078857
2,6,0.009934425354003906
2,7,0.008812010288238525
2,8,0.012069940567016602
2,9,0.011153936386108398
3,0,0.011149406433105469
3,1,0.008874297142028809
3,2,0.004520833492279053
3,3,0.0
3,4,0.007833540439605713
3,5,0.0030387043952941895
3,6,0.0079994797706604
3,7,0.006729006767272949
3,8,0.011924386024475098
3,9,0.008613407611846924
4,0,0.01572948694229126
4,1,0.01815098524093628
4,2,0.00746077299118042
4,3,0.007833540439605713
4,4,0.0
4,5,0.009380638599395752
4,6,0.011512279510498047
4,7,0.011131703853607178
4,8,0.018202543258666992
4,9,0.014177203178405762
5,0,0.01415163278579712
5,1,0.010336101055145264
5,2,0.007954776287078857
5,3,0.0030387043952941895
5,4,0.009380638599395752
5,5,0.0
5,6,0.012338757514953613
5,7,0.00860595703125
5,8,0.013874411582946777
5,9,0.011755704879760742
6,0,0.020300567150115967
6,1,0.016348719596862793
6,2,0.009934425354003906
6,3,0.0079994797706604
6,4,0.011512279510498047
6,5,0.012338757514953613
6,6,0.0
6,7,0.01413881778717041
6,8,0.01881927251815796
6,9,0.01894742250442505
7,0,0.012114882469177246
7,1,0.00944364070892334
7,2,0.008812010288238525
7,3,0.006729006767272949
7,4,0.011131703853607178
7,5,0.00860595703125
7,6,0.01413881778717041
7,7,0.0
7,8,0.016868174076080322
7,9,0.00951927900314331
8,0,0.013221144676208496
8,1,0.015639841556549072
8,2,0.012069940567016602
8,3,0.011924386024475098
8,4,0.018202543258666992
8,5,0.013874411582946777
8,6,0.01881927251815796
8,7,0.016868174076080322
8,8,0.0
8,9,0.012363195419311523
9,0,0.014663934707641602
9,1,0.00783306360244751
9,2,0.011153936386108398
9,3,0.008613407611846924
9,4,0.014177203178405762
9,5,0.011755704879760742
9,6,0.01894742250442505
9,7,0.00951927900314331
9,8,0.012363195419311523
9,9,0.0
