class_i,class_j,mmd
0,0,0.0
0,1,0.003823770155588443
0,2,0.0037770000644643024
0,3,0.0039658512418957615
0,4,0.004281853149470859
0,5,0.0039677902017180655
0,6,0.004183186970622842
0,7,0.003854409044019783
0,8,0.0034116789619853855
0,9,0.0037339044964141816
1,0,0.003823770155588443
1,1,0.0
1,2,0.0038521159444628384
1,3,0.0033497192931627845
1,4,0.003906303509816998
1,5,0.003557647161032958
1,6,0.0034677556916736796
1,7,0.003542518313449961
1,8,0.0033506233081391857
1,9,0.003250723824707793
2,0,0.0037770000644643024
2,1,0.0038521159444628384
2,2,0.0
2,3,0.003746394424793758
2,4,0.0036543037656329475
2,5,0.0035821220299727357
2,6,0.0036459533100716385
2,7,0.0037071623707707335
2,8,0.00344944940260139
2,9,0.00355137596445381
3,0,0.0039658512418957615
3,1,0.0033497192931627845
3,2,0.003746394424793758
3,3,0.0
3,4,0.004042267142104634
3,5,0.0033983080135810023
3,6,0.0035643338658817936
3,7,0.003599659904318264
3,8,0.0036082171888670816
3,9,0.003475967569698531
4,0,0.004281853149470859
4,1,0.003906303509816998
4,2,0.0036543037656329475
4,3,0.004042267142104634
4,4,0.0
4,5,0.0036657070204180026
4,6,0.0034081387963257486
4,7,0.0037131418282575174
4,8,0.0036581117714680517
4,9,0.003681256635023381
5,0,0.0039677902017180655
5,1,0.003557647161032958
5,2,0.0035821220299727357
5,3,0.0033983080135810023
5,4,0.0036657070204180026
5,5,0.0
5,6,0.0036026409851211494
5,7,0.0034201964091402242
5,8,0.003618941449096897
5,9,0.0035299879920302874
6,0,0.004183186970622842
6,1,0.0034677556916736796
6,2,0.0036459533100716385
6,3,0.0035643338658817936
6,4,0.0034081387963257486
6,5,0.0036026409851211494
6,6,0.0
6,7,0.0035840900824051303
6,8,0.0035687362539495054
6,9,0.003377349050727531
7,0,0.003854409044019783
7,1,0.003542518313449961
7,2,0.0037071623707707335
7,3,0.003599659904318264
7,4,0.0037131418282575174
7,5,0.0034201964091402242
7,6,0.0035840900824051303
7,7,0.0
7,8,0.003372644314540596
7,9,0.0032302645215550796
8,0,0.0034116789619853855
8,1,0.0033506233081391857
8,2,0.00344944940260139
8,3,0.0036082171888670816
8,4,0.0036581117714680517
8,5,0.003618941449096897
8,6,0.0035687362539495054
8,7,0.003372644314540596
8,8,0.0
8,9,0.003246889467538039
9,0,0.0037339044964141816
9,1,0.003250723824707793
9,2,0.00355137596445381
9,3,0.003475967569698531
9,4,0.003681256635023381
9,5,0.0035299879920302874
9,6,0.003377349050727531
9,7,0.0032302645215550796
9,8,0.003246889467538039
9,9,0.0
