class_i,class_j,mmd
0,0,0.0
0,1,0.03624806737107463
0,2,0.03452646920107749
0,3,0.03584656077872034
0,4,0.0370274241630407
0,5,0.03602389714565563
0,6,0.03255045407276819
0,7,0.035553505051293566
0,8,0.03553211584703969
0,9,0.03887604674491048
1,0,0.03624806737107463
1,1,0.0
1,2,0.03671324398637898
1,3,0.038393069554401964
1,4,0.03745273892882878
1,5,0.037562654853549406
1,6,0.03679126054885086
1,7,0.037160460347084916
1,8,0.0360576803170302
1,9,0.03963458094292389
2,0,0.03452646920107749
2,1,0.03671324398637898
2,2,0.0
2,3,0.03811104943717002
2,4,0.03748424948472103
2,5,0.03617108352984866
2,6,0.03451867486445635
2,7,0.03548002579315792
2,8,0.03456667003265347
2,9,0.03808185945190499
3,0,0.03584656077872034
3,1,0.038393069554401964
3,2,0.03811104943717002
3,3,0.0
3,4,0.03938037445797427
3,5,0.034552239007422214
3,6,0.03665616775159776
3,7,0.03681048702908669
3,8,0.035304763984995394
3,9,0.04094951243485293
4,0,0.0370274241630407
4,1,0.03745273892882878
4,2,0.03748424948472103
4,3,0.03938037445797427
4,4,0.0
4,5,0.038040251488080434
4,6,0.036917707836371286
4,7,0.03655986313728831
4,8,0.03701195731741822
4,9,0.03939163725698539
5,0,0.03602389714565563
5,1,0.037562654853549406
5,2,0.03617108352984866
5,3,0.034552239007422214
5,4,0.038040251488080434
5,5,0.0
5,6,0.03610264019484826
5,7,0.0355938805802608
5,8,0.03519273060307652
5,9,0.038993382570183484
6,0,0.03255045407276819
6,1,0.03679126054885086
6,2,0.03451867486445635
6,3,0.03665616775159776
6,4,0.036917707836371286
6,5,0.03610264019484826
6,6,0.0
6,7,0.03460860725748146
6,8,0.035035715558790405
6,9,0.03868885715911907
7,0,0.035553505051293566
7,1,0.037160460347084916
7,2,0.03548002579315792
7,3,0.03681048702908669
7,4,0.03655986313728831
7,5,0.0355938805802608
7,6,0.03460860725748146
7,7,0.0
7,8,0.034775118166121104
7,9,0.03830197143830422
8,0,0.03553211584703969
8,1,0.0360576803170302
8,2,0.03456667003265347
8,3,0.035304763984995394
8,4,0.03701195731741822
8,5,0.03519273060307652
8,6,0.035035715558790405
8,7,0.034775118166121104
8,8,0.0
8,9,0.037614221512235334
9,0,0.03887604674491048
9,1,0.03963458094292389
9,2,0.03808185945190499
9,3,0.04094951243485293
9,4,0.03939163725698539
9,5,0.038993382570183484
9,6,0.03868885715911907
9,7,0.03830197143830422
9,8,0.037614221512235334
9,9,0.0
