class_i,class_j,mmd
0,0,0.0
0,1,0.005402207374572754
0,2,0.004063606262207031
0,3,0.004536330699920654
0,4,0.004911065101623535
0,5,0.004806101322174072
0,6,0.004953444004058838
0,7,0.00451892614364624
0,8,0.005396902561187744
0,9,0.0048697590827941895
1,0,0.005402207374572754
1,1,0.0
1,2,0.0022179484367370605
1,3,0.002930581569671631
1,4,0.0027497410774230957
1,5,0.0028794407844543457
1,6,0.0034610629081726074
1,7,0.002105414867401123
1,8,0.0029855966567993164
1,9,0.0027649402618408203
2,0,0.004063606262207031
2,1,0.0022179484367370605
2,2,0.0
2,3,0.0008248090744018555
2,4,0.0012985467910766602
2,5,0.0011944770812988281
2,6,0.0018230080604553223
2,7,0.0008385181427001953
2,8,0.0014199018478393555
2,9,0.0017014145851135254
3,0,0.004536330699920654
3,1,0.002930581569671631
3,2,0.0008248090744018555
3,3,0.0
3,4,0.0018688440322875977
3,5,0.0012137889862060547
3,6,0.002092897891998291
3,7,0.0012363791465759277
3,8,0.0018233060836791992
3,9,0.002002239227294922
4,0,0.004911065101623535
4,1,0.0027497410774230957
4,2,0.0012985467910766602
4,3,0.0018688440322875977
4,4,0.0
4,5,0.002275228500366211
4,6,0.002463817596435547
4,7,0.0011134743690490723
4,8,0.0022795796394348145
4,9,0.0013468265533447266
5,0,0.004806101322174072
5,1,0.0028794407844543457
5,2,0.0011944770812988281
5,3,0.0012137889862060547
5,4,0.002275228500366211
5,5,0.0
5,6,0.002002894878387451
5,7,0.0014140605926513672
5,8,0.0013269782066345215
5,9,0.0021218061447143555
6,0,0.004953444004058838
6,1,0.0034610629081726074
6,2,0.0018230080604553223
6,3,0.002092897891998291
6,4,0.002463817596435547
6,5,0.002002894878387451
6,6,0.0
6,7,0.002047121524810791
6,8,0.0028402209281921387
6,9,0.0023520588874816895
7,0,0.00451892614364624
7,1,0.002105414867401123
7,2,0.0008385181427001953
7,3,0.0012363791465759277
7,4,0.0011134743690490723
7,5,0.0014140605926513672
7,6,0.002047121524810791
7,7,0.0
7,8,0.001569986343383789
7,9,0.001371622085571289
8,0,0.005396902561187744
8,1,0.0029855966567993164
8,2,0.0014199018478393555
8,3,0.0018233060836791992
8,4,0.0022795796394348145
8,5,0.0013269782066345215
8,6,0.0028402209281921387
8,7,0.001569986343383789
8,8,0.0
8,9,0.0018938183784484863
9,0,0.0048697590827941895
9,1,0.0027649402618408203
9,2,0.0017014145851135254
9,3,0.002002239227294922
9,4,0.0013468265533447266
9,5,0.0021218061447143555
9,6,0.0023520588874816895
9,7,0.001371622085571289
9,8,0.0018938183784484863
9,9,0.0
