dataset,delta,ACC,NMI,ARI,FID,SSIM,LPIPS,global_mmd,delta_inter,lp_accuracy,hsic,gen_self_acc_global_gaussian
mnist,0.0,0.9915,0.9757861229875269,0.9813155301214083,73.99471222924387,0.9833462834358215,0.0119590489462018,0.0008853376176026684,6.212326367696126,0.9987999796867371,0.0008795870235189795,0.115
mnist,0.03,0.9944,0.9823167699937879,0.98768415893007,62.799440995685046,0.9833887815475464,0.012088136830925942,0.0008984605861421786,3.267280764049954,0.9976000189781189,0.0008795865578576922,0.117
mnist,0.1,0.9898,0.972674424528206,0.9779500235515631,52.60581174718695,0.982780933380127,0.01227411402016878,0.0008671866418292305,2.1169035699632435,0.9929999709129333,0.0008795882458798587,0.124
mnist,0.3,0.9936,0.9802193587584906,0.9859331105850322,59.44385733183512,0.9815772175788879,0.012875059448182583,0.0009336168657315828,1.5479091962178548,0.8453999757766724,0.000879588071256876,0.33
mnist,1.0,0.8592,0.9310626556447473,0.8584235760877273,43.35704884229722,0.9793513417243958,0.013731272751092911,0.001088182998168645,1.2223664588398404,0.42559999227523804,0.0008795882458798587,0.735
mnist,3.0,0.9929,0.9783389789373429,0.9844174828521136,41.544648219815,0.9774954915046692,0.014827528336644172,0.0012543961997680969,1.1809746861457824,0.4300000071525574,0.0008795933099463582,0.689
cifar10,0.0,0.8129,0.6584068545830543,0.6409073686707892,80.51376007285882,0.7057607769966125,0.21415928592681885,0.0005583479280475284,3.744224532445272,0.8167999982833862,0.0008800573414191604,0.128
cifar10,0.03,0.8111,0.657525586762253,0.6376544556835215,79.11253427478812,0.706591010093689,0.21436227912902833,0.0005478242733644901,2.4848317490683662,0.6934000253677368,0.0008800571085885167,0.168
cifar10,0.1,0.81,0.6508105059629428,0.6346726337864921,77.49516580754766,0.7096017599105835,0.21367128100395202,0.0005932135070462771,2.0321625232696534,0.5845999717712402,0.000880057574249804,0.193
cifar10,0.3,0.7148,0.6261432121272443,0.5774197671261724,72.04536898929877,0.707084059715271,0.21542879691123962,0.0005928160692874944,1.588682410452101,0.5130000114440918,0.0008800568175502121,0.186
cifar10,1.0,0.8,0.6385865001929334,0.6177130332125145,74.41957033867692,0.7079269289970398,0.21342984929084777,0.0006753074712890375,1.04870861503813,0.30219998955726624,0.0008800579817034304,0.4
cifar10,3.0,0.7994,0.6432044464222225,0.6162752281122976,76.11177700799874,0.7019389867782593,0.21881257491111755,0.000984051407741614,0.9464841047922771,0.2849999964237213,0.000880058272741735,0.406
