a,b,content_rate,style_rate,neither_rate,n
0,0,0.8299999833106995,0.8299999833106995,nan,100
0,1,0.3100000023841858,0.4000000059604645,0.28999999165534973,100
0,2,0.27000001072883606,0.49000000953674316,0.23999997973442078,100
0,3,0.1899999976158142,0.4000000059604645,0.4099999964237213,100
0,4,0.30000001192092896,0.3100000023841858,0.38999998569488525,100
0,5,0.18000000715255737,0.3799999952316284,0.4399999976158142,100
0,6,0.20000000298023224,0.10000000149011612,0.6999999955296516,100
0,7,0.25999999046325684,0.44999998807907104,0.2900000214576721,100
0,8,0.1899999976158142,0.699999988079071,0.11000001430511475,100
0,9,0.3499999940395355,0.23000000417232513,0.42000000178813934,100
1,0,0.09000000357627869,0.7200000286102295,0.18999996781349182,100
1,1,0.9300000071525574,0.9300000071525574,nan,100
1,2,0.20999999344348907,0.3400000035762787,0.45000000298023224,100
1,3,0.15000000596046448,0.44999998807907104,0.4000000059604645,100
1,4,0.20999999344348907,0.20000000298023224,0.5900000035762787,100
1,5,0.10000000149011612,0.36000001430511475,0.5399999842047691,100
1,6,0.3499999940395355,0.07999999821186066,0.5700000077486038,100
1,7,0.11999999731779099,0.4699999988079071,0.4100000038743019,100
1,8,0.10000000149011612,0.6100000143051147,0.28999998420476913,100
1,9,0.3700000047683716,0.46000000834465027,0.16999998688697815,100
2,0,0.3700000047683716,0.4000000059604645,0.22999998927116394,100
2,1,0.15000000596046448,0.2199999988079071,0.6299999952316284,100
2,2,0.7799999713897705,0.7799999713897705,nan,100
2,3,0.15000000596046448,0.5899999737739563,0.2600000202655792,100
2,4,0.25,0.5400000214576721,0.20999997854232788,100
2,5,0.15000000596046448,0.5299999713897705,0.320000022649765,100
2,6,0.25,0.12999999523162842,0.6200000047683716,100
2,7,0.20000000298023224,0.36000001430511475,0.439999982714653,100
2,8,0.23999999463558197,0.49000000953674316,0.26999999582767487,100
2,9,0.1599999964237213,0.07999999821186066,0.760000005364418,100
3,0,0.25,0.3700000047683716,0.3799999952316284,100
3,1,0.3100000023841858,0.20000000298023224,0.48999999463558197,100
3,2,0.20000000298023224,0.5199999809265137,0.2800000160932541,100
3,3,0.7300000190734863,0.7300000190734863,nan,100
3,4,0.27000001072883606,0.3799999952316284,0.3499999940395355,100
3,5,0.3499999940395355,0.5400000214576721,0.10999998450279236,100
3,6,0.4099999964237213,0.20999999344348907,0.3800000101327896,100
3,7,0.2199999988079071,0.3199999928474426,0.46000000834465027,100
3,8,0.30000001192092896,0.3799999952316284,0.3199999928474426,100
3,9,0.38999998569488525,0.17000000178813934,0.4400000125169754,100
4,0,0.28999999165534973,0.25,0.46000000834465027,100
4,1,0.25,0.11999999731779099,0.630000002682209,100
4,2,0.15000000596046448,0.699999988079071,0.15000000596046448,100
4,3,0.10000000149011612,0.5299999713897705,0.3700000271201134,100
4,4,0.75,0.75,nan,100
4,5,0.07000000029802322,0.5299999713897705,0.40000002831220627,100
4,6,0.25999999046325684,0.1599999964237213,0.5800000131130219,100
4,7,0.20999999344348907,0.4300000071525574,0.35999999940395355,100
4,8,0.28999999165534973,0.25,0.46000000834465027,100
4,9,0.20999999344348907,0.07999999821186066,0.7100000083446503,100
5,0,0.11999999731779099,0.4300000071525574,0.44999999552965164,100
5,1,0.20999999344348907,0.25,0.5400000065565109,100
5,2,0.15000000596046448,0.5099999904632568,0.3400000035762787,100
5,3,0.20999999344348907,0.6600000262260437,0.12999998033046722,100
5,4,0.2199999988079071,0.46000000834465027,0.3199999928474426,100
5,5,0.6499999761581421,0.6499999761581421,nan,100
5,6,0.3400000035762787,0.09000000357627869,0.5699999928474426,100
5,7,0.2199999988079071,0.46000000834465027,0.3199999928474426,100
5,8,0.2199999988079071,0.3799999952316284,0.4000000059604645,100
5,9,0.4000000059604645,0.07000000029802322,0.5299999937415123,100
6,0,0.07999999821186066,0.20000000298023224,0.7199999988079071,100
6,1,0.20000000298023224,0.28999999165534973,0.510000005364418,100
6,2,0.07999999821186066,0.5899999737739563,0.33000002801418304,100
6,3,0.03999999910593033,0.8100000023841858,0.14999999850988388,100
6,4,0.03999999910593033,0.550000011920929,0.4099999889731407,100
6,5,0.03999999910593033,0.4699999988079071,0.49000000208616257,100
6,6,0.5,0.5,nan,100
6,7,0.03999999910593033,0.30000001192092896,0.6599999889731407,100
6,8,0.12999999523162842,0.30000001192092896,0.5699999928474426,100
6,9,0.11999999731779099,0.14000000059604645,0.7400000020861626,100
7,0,0.05999999865889549,0.44999998807907104,0.49000001326203346,100
7,1,0.15000000596046448,0.3100000023841858,0.5399999916553497,100
7,2,0.07000000029802322,0.6100000143051147,0.31999998539686203,100
7,3,0.10000000149011612,0.5799999833106995,0.3200000151991844,100
7,4,0.17000000178813934,0.5199999809265137,0.310000017285347,100
7,5,0.07999999821186066,0.6100000143051147,0.3099999874830246,100
7,6,0.17000000178813934,0.09000000357627869,0.739999994635582,100
7,7,0.8100000023841858,0.8100000023841858,nan,100
7,8,0.09000000357627869,0.3799999952316284,0.5300000011920929,100
7,9,0.23000000417232513,0.12999999523162842,0.6400000005960464,100
8,0,0.3100000023841858,0.5899999737739563,0.10000002384185791,100
8,1,0.4099999964237213,0.3700000047683716,0.2199999988079071,100
8,2,0.15000000596046448,0.5,0.3499999940395355,100
8,3,0.23999999463558197,0.46000000834465027,0.29999999701976776,100
8,4,0.2800000011920929,0.27000001072883606,0.44999998807907104,100
8,5,0.18000000715255737,0.2800000011920929,0.5399999916553497,100
8,6,0.3100000023841858,0.14000000059604645,0.5499999970197678,100
8,7,0.14000000059604645,0.3499999940395355,0.510000005364418,100
8,8,0.9399999976158142,0.9399999976158142,nan,100
8,9,0.3499999940395355,0.27000001072883606,0.3799999952316284,100
9,0,0.10000000149011612,0.6499999761581421,0.2500000223517418,100
9,1,0.17000000178813934,0.6499999761581421,0.18000002205371857,100
9,2,0.12999999523162842,0.3799999952316284,0.49000000953674316,100
