a,b,content_rate,style_rate,neither_rate,n
0,0,0.9800000190734863,0.9800000190734863,nan,100
0,1,0.0,1.0,0.0,100
0,2,0.0,0.9800000190734863,0.019999980926513672,100
0,3,0.0,1.0,0.0,100
0,4,0.0,1.0,0.0,100
0,5,0.0,1.0,0.0,100
0,6,0.009999999776482582,0.9800000190734863,0.00999998115003109,100
0,7,0.0,0.9900000095367432,0.009999990463256836,100
0,8,0.0,1.0,0.0,100
0,9,0.0,0.9599999785423279,0.04000002145767212,100
1,0,0.0,0.9900000095367432,0.009999990463256836,100
1,1,1.0,1.0,nan,100
1,2,0.009999999776482582,0.9800000190734863,0.00999998115003109,100
1,3,0.0,0.9700000286102295,0.029999971389770508,100
1,4,0.0,1.0,0.0,100
1,5,0.0,0.9900000095367432,0.009999990463256836,100
1,6,0.0,0.9900000095367432,0.009999990463256836,100
1,7,0.0,1.0,0.0,100
1,8,0.0,1.0,0.0,100
1,9,0.0,0.9900000095367432,0.009999990463256836,100
2,0,0.009999999776482582,0.9800000190734863,0.00999998115003109,100
2,1,0.0,1.0,0.0,100
2,2,0.9900000095367432,0.9900000095367432,nan,100
2,3,0.0,1.0,0.0,100
2,4,0.0,1.0,0.0,100
2,5,0.0,0.9800000190734863,0.019999980926513672,100
2,6,0.0,0.9900000095367432,0.009999990463256836,100
2,7,0.0,1.0,0.0,100
2,8,0.0,1.0,0.0,100
2,9,0.0,1.0,0.0,100
3,0,0.0,1.0,0.0,100
3,1,0.0,1.0,0.0,100
3,2,0.0,0.9700000286102295,0.029999971389770508,100
3,3,1.0,1.0,nan,100
3,4,0.0,1.0,0.0,100
3,5,0.0,1.0,0.0,100
3,6,0.0,1.0,0.0,100
3,7,0.0,1.0,0.0,100
3,8,0.0,0.9900000095367432,0.009999990463256836,100
3,9,0.0,0.9900000095367432,0.009999990463256836,100
4,0,0.0,0.9800000190734863,0.019999980926513672,100
4,1,0.0,1.0,0.0,100
4,2,0.0,1.0,0.0,100
4,3,0.0,0.9900000095367432,0.009999990463256836,100
4,4,1.0,1.0,nan,100
4,5,0.0,0.9900000095367432,0.009999990463256836,100
4,6,0.0,0.9800000190734863,0.019999980926513672,100
4,7,0.0,0.9900000095367432,0.009999990463256836,100
4,8,0.0,0.9900000095367432,0.009999990463256836,100
4,9,0.0,1.0,0.0,100
5,0,0.0,0.9900000095367432,0.009999990463256836,100
5,1,0.0,1.0,0.0,100
5,2,0.0,0.9900000095367432,0.009999990463256836,100
5,3,0.009999999776482582,0.9900000095367432,0.0,100
5,4,0.0,1.0,0.0,100
5,5,1.0,1.0,nan,100
5,6,0.0,1.0,0.0,100
5,7,0.0,0.9800000190734863,0.019999980926513672,100
5,8,0.0,0.9900000095367432,0.009999990463256836,100
5,9,0.0,0.9800000190734863,0.019999980926513672,100
6,0,0.0,1.0,0.0,100
6,1,0.0,1.0,0.0,100
6,2,0.0,0.9900000095367432,0.009999990463256836,100
6,3,0.0,1.0,0.0,100
6,4,0.009999999776482582,0.9900000095367432,0.0,100
6,5,0.0,1.0,0.0,100
6,6,0.9900000095367432,0.9900000095367432,nan,100
6,7,0.0,1.0,0.0,100
6,8,0.0,0.9900000095367432,0.009999990463256836,100
6,9,0.0,0.9900000095367432,0.009999990463256836,100
7,0,0.0,0.9800000190734863,0.019999980926513672,100
7,1,0.0,1.0,0.0,100
7,2,0.019999999552965164,0.9800000190734863,0.0,100
7,3,0.0,1.0,0.0,100
7,4,0.0,1.0,0.0,100
7,5,0.0,1.0,0.0,100
7,6,0.0,0.9900000095367432,0.009999990463256836,100
7,7,1.0,1.0,nan,100
7,8,0.019999999552965164,0.9800000190734863,0.0,100
7,9,0.0,1.0,0.0,100
8,0,0.0,1.0,0.0,100
8,1,0.0,0.9800000190734863,0.019999980926513672,100
8,2,0.0,0.9800000190734863,0.019999980926513672,100
8,3,0.0,0.9900000095367432,0.009999990463256836,100
8,4,0.0,0.9900000095367432,0.009999990463256836,100
8,5,0.0,0.9900000095367432,0.009999990463256836,100
8,6,0.0,0.9900000095367432,0.009999990463256836,100
8,7,0.0,1.0,0.0,100
8,8,1.0,1.0,nan,100
8,9,0.0,1.0,0.0,100
9,0,0.009999999776482582,0.9900000095367432,0.0,100
9,1,0.0,1.0,0.0,100
9,2,0.0,0.9900000095367432,0.009999990463256836,100
9,3,0.0,0.9800000190734863,0.019999980926513672,100
9,4,0.0,1.0,0.0,100
9,5,0.0,0.9900000095367432,0.009999990463256836,100
9,6,0.0,0.9800000190734863,0.019999980926513672,100
9,7,0.0,1.0,0.0,100
9,8,0.0,1.0,0.0,100
9,9,1.0,1.0,nan,100
