a,b,content_rate,style_rate,neither_rate,n
0,0,1.0,1.0,nan,100
0,1,0.6800000071525574,0.0,0.3199999928474426,100
0,2,0.6100000143051147,0.3400000035762787,0.04999998211860657,100
0,3,0.5899999737739563,0.15000000596046448,0.2600000202655792,100
0,4,0.7200000286102295,0.07000000029802322,0.20999997109174728,100
0,5,0.5799999833106995,0.36000001430511475,0.06000000238418579,100
0,6,0.6800000071525574,0.10999999940395355,0.20999999344348907,100
0,7,0.5400000214576721,0.11999999731779099,0.3399999812245369,100
0,8,0.6700000166893005,0.12999999523162842,0.19999998807907104,100
0,9,0.550000011920929,0.25999999046325684,0.1899999976158142,100
1,0,0.47999998927116394,0.0,0.5200000107288361,100
1,1,1.0,1.0,nan,100
1,2,0.4300000071525574,0.25999999046325684,0.3100000023841858,100
1,3,0.38999998569488525,0.30000001192092896,0.3100000023841858,100
1,4,0.46000000834465027,0.18000000715255737,0.35999998450279236,100
1,5,0.3700000047683716,0.2199999988079071,0.4099999964237213,100
1,6,0.5600000023841858,0.17000000178813934,0.26999999582767487,100
1,7,0.47999998927116394,0.10999999940395355,0.4100000113248825,100
1,8,0.41999998688697815,0.41999998688697815,0.1600000262260437,100
1,9,0.4300000071525574,0.20000000298023224,0.3699999898672104,100
2,0,0.800000011920929,0.09000000357627869,0.10999998450279236,100
2,1,0.75,0.009999999776482582,0.24000000022351742,100
2,2,1.0,1.0,nan,100
2,3,0.6600000262260437,0.2800000011920929,0.0599999725818634,100
2,4,0.6499999761581421,0.17000000178813934,0.18000002205371857,100
2,5,0.5600000023841858,0.18000000715255737,0.25999999046325684,100
2,6,0.6800000071525574,0.20000000298023224,0.11999998986721039,100
2,7,0.7699999809265137,0.05000000074505806,0.18000001832842827,100
2,8,0.5400000214576721,0.4300000071525574,0.029999971389770508,100
2,9,0.6499999761581421,0.18000000715255737,0.17000001668930054,100
3,0,0.6100000143051147,0.07000000029802322,0.31999998539686203,100
3,1,0.8799999952316284,0.0,0.12000000476837158,100
3,2,0.6299999952316284,0.17000000178813934,0.20000000298023224,100
3,3,0.9900000095367432,0.9900000095367432,nan,100
3,4,0.5699999928474426,0.07999999821186066,0.3500000089406967,100
3,5,0.6600000262260437,0.3100000023841858,0.029999971389770508,100
3,6,0.6200000047683716,0.05999999865889549,0.3199999965727329,100
3,7,0.7599999904632568,0.019999999552965164,0.220000009983778,100
3,8,0.5799999833106995,0.36000001430511475,0.06000000238418579,100
3,9,0.5899999737739563,0.20999999344348907,0.20000003278255463,100
4,0,0.7599999904632568,0.05000000074505806,0.1900000087916851,100
4,1,0.800000011920929,0.019999999552965164,0.17999998852610588,100
4,2,0.7200000286102295,0.07000000029802322,0.20999997109174728,100
4,3,0.5600000023841858,0.14000000059604645,0.29999999701976776,100
4,4,1.0,1.0,nan,100
4,5,0.46000000834465027,0.28999999165534973,0.25,100
4,6,0.75,0.05000000074505806,0.19999999925494194,100
4,7,0.6000000238418579,0.18000000715255737,0.21999996900558472,100
4,8,0.6499999761581421,0.25999999046325684,0.09000003337860107,100
4,9,0.5600000023841858,0.4300000071525574,0.009999990463256836,100
5,0,0.6800000071525574,0.1899999976158142,0.12999999523162842,100
5,1,0.6899999976158142,0.009999999776482582,0.3000000026077032,100
5,2,0.20000000298023224,0.3700000047683716,0.4299999922513962,100
5,3,0.3799999952316284,0.550000011920929,0.06999999284744263,100
5,4,0.550000011920929,0.23000000417232513,0.2199999839067459,100
5,5,1.0,1.0,nan,100
5,6,0.5400000214576721,0.23999999463558197,0.2199999839067459,100
5,7,0.47999998927116394,0.05999999865889549,0.46000001206994057,100
5,8,0.36000001430511475,0.550000011920929,0.0899999737739563,100
5,9,0.550000011920929,0.3799999952316284,0.06999999284744263,100
6,0,0.8799999952316284,0.03999999910593033,0.08000000566244125,100
6,1,0.7699999809265137,0.0,0.23000001907348633,100
6,2,0.36000001430511475,0.4699999988079071,0.16999998688697815,100
6,3,0.699999988079071,0.12999999523162842,0.17000001668930054,100
6,4,0.6100000143051147,0.30000001192092896,0.0899999737739563,100
6,5,0.6399999856948853,0.30000001192092896,0.06000000238418579,100
6,6,1.0,1.0,nan,100
6,7,0.6100000143051147,0.0,0.38999998569488525,100
6,8,0.5799999833106995,0.3799999952316284,0.04000002145767212,100
6,9,0.7799999713897705,0.07000000029802322,0.15000002831220627,100
7,0,0.6800000071525574,0.03999999910593033,0.2799999937415123,100
7,1,0.8999999761581421,0.0,0.10000002384185791,100
7,2,0.5899999737739563,0.12999999523162842,0.2800000309944153,100
7,3,0.6000000238418579,0.2199999988079071,0.17999997735023499,100
7,4,0.5699999928474426,0.1899999976158142,0.24000000953674316,100
7,5,0.5,0.1899999976158142,0.3100000023841858,100
7,6,0.5699999928474426,0.009999999776482582,0.4200000073760748,100
7,7,1.0,1.0,nan,100
7,8,0.5299999713897705,0.28999999165534973,0.18000003695487976,100
7,9,0.5299999713897705,0.44999998807907104,0.020000040531158447,100
8,0,0.8100000023841858,0.03999999910593033,0.14999999850988388,100
8,1,0.7099999785423279,0.0,0.2900000214576721,100
8,2,0.6899999976158142,0.2800000011920929,0.030000001192092896,100
8,3,0.6399999856948853,0.23000000417232513,0.1300000101327896,100
8,4,0.5600000023841858,0.20999999344348907,0.23000000417232513,100
8,5,0.6100000143051147,0.36000001430511475,0.029999971389770508,100
8,6,0.6700000166893005,0.23000000417232513,0.09999997913837433,100
8,7,0.5899999737739563,0.12999999523162842,0.2800000309944153,100
8,8,1.0,1.0,nan,100
8,9,0.47999998927116394,0.4699999988079071,0.050000011920928955,100
9,0,0.7599999904632568,0.05000000074505806,0.1900000087916851,100
9,1,0.6800000071525574,0.0,0.3199999928474426,100
9,2,0.4699999988079071,0.07999999821186066,0.45000000298023224,100
9,3,0.6700000166893005,0.12999999523162842,0.19999998807907104,100
9,4,0.6399999856948853,0.3499999940395355,0.010000020265579224,100
9,5,0.5699999928474426,0.1899999976158142,0.24000000953674316,100
9,6,0.6899999976158142,0.05000000074505806,0.26000000163912773,100
9,7,0.7699999809265137,0.15000000596046448,0.08000001311302185,100
9,8,0.5099999904632568,0.4099999964237213,0.08000001311302185,100
9,9,1.0,1.0,nan,100
