strategy,class,style_compatible_rate,wrong_style_rate
global_gaussian,0,0.077,0.923
global_gaussian,1,0.08,0.92
global_gaussian,2,0.106,0.894
global_gaussian,3,0.0975,0.9025
global_gaussian,4,0.128,0.872
global_gaussian,5,0.1025,0.8975
global_gaussian,6,0.107,0.893
global_gaussian,7,0.084,0.916
global_gaussian,8,0.096,0.904
global_gaussian,9,0.086,0.914
class_mean,0,1.0,0.0
class_mean,1,1.0,0.0
class_mean,2,1.0,0.0
class_mean,3,1.0,0.0
class_mean,4,1.0,0.0
class_mean,5,1.0,0.0
class_mean,6,1.0,0.0
class_mean,7,1.0,0.0
class_mean,8,1.0,0.0
class_mean,9,1.0,0.0
class_diag_t0.25,0,1.0,0.0
class_diag_t0.25,1,1.0,0.0
class_diag_t0.25,2,1.0,0.0
class_diag_t0.25,3,0.9925,0.007499999999999951
class_diag_t0.25,4,1.0,0.0
class_diag_t0.25,5,1.0,0.0
class_diag_t0.25,6,1.0,0.0
class_diag_t0.25,7,1.0,0.0
class_diag_t0.25,8,1.0,0.0
class_diag_t0.25,9,1.0,0.0
class_diag_t0.50,0,0.9975,0.0024999999999999467
class_diag_t0.50,1,0.997,0.0030000000000000027
class_diag_t0.50,2,0.991,0.009000000000000008
class_diag_t0.50,3,0.7565,0.24350000000000005
class_diag_t0.50,4,0.99,0.010000000000000009
class_diag_t0.50,5,0.994,0.006000000000000005
class_diag_t0.50,6,0.999,0.0010000000000000009
class_diag_t0.50,7,0.9985,0.0014999999999999458
class_diag_t0.50,8,1.0,0.0
class_diag_t0.50,9,0.999,0.0010000000000000009
class_empirical,0,0.951,0.049000000000000044
class_empirical,1,0.9465,0.05349999999999999
class_empirical,2,0.8775,0.12250000000000005
class_empirical,3,0.699,0.30100000000000005
class_empirical,4,0.9095,0.09050000000000002
class_empirical,5,0.8735,0.12649999999999995
class_empirical,6,0.955,0.04500000000000004
class_empirical,7,0.954,0.04600000000000004
class_empirical,8,0.9785,0.021499999999999964
class_empirical,9,0.959,0.041000000000000036
