strategy,class,style_compatible_rate,wrong_style_rate
global_gaussian,0,0.1245,0.8755
global_gaussian,1,0.1295,0.8705
global_gaussian,2,0.1055,0.8945
global_gaussian,3,0.073,0.927
global_gaussian,4,0.093,0.907
global_gaussian,5,0.06,0.94
global_gaussian,6,0.064,0.9359999999999999
global_gaussian,7,0.063,0.937
global_gaussian,8,0.177,0.823
global_gaussian,9,0.0985,0.9015
class_mean,0,0.0,1.0
class_mean,1,1.0,0.0
class_mean,2,0.0,1.0
class_mean,3,1.0,0.0
class_mean,4,0.0,1.0
class_mean,5,1.0,0.0
class_mean,6,0.0,1.0
class_mean,7,1.0,0.0
class_mean,8,1.0,0.0
class_mean,9,1.0,0.0
class_diag_t0.25,0,0.228,0.772
class_diag_t0.25,1,0.2015,0.7985
class_diag_t0.25,2,0.117,0.883
class_diag_t0.25,3,0.1375,0.8625
class_diag_t0.25,4,0.083,0.917
class_diag_t0.25,5,0.1155,0.8845
class_diag_t0.25,6,0.0825,0.9175
class_diag_t0.25,7,0.0855,0.9145
class_diag_t0.25,8,0.4015,0.5985
class_diag_t0.25,9,0.214,0.786
class_diag_t0.50,0,0.2185,0.7815
class_diag_t0.50,1,0.1585,0.8415
class_diag_t0.50,2,0.117,0.883
class_diag_t0.50,3,0.0975,0.9025
class_diag_t0.50,4,0.0995,0.9005
class_diag_t0.50,5,0.094,0.906
class_diag_t0.50,6,0.069,0.931
class_diag_t0.50,7,0.0815,0.9185
class_diag_t0.50,8,0.275,0.725
class_diag_t0.50,9,0.15,0.85
class_empirical,0,0.2125,0.7875
class_empirical,1,0.1175,0.8825000000000001
class_empirical,2,0.132,0.868
class_empirical,3,0.1205,0.8795
class_empirical,4,0.1435,0.8565
class_empirical,5,0.1645,0.8355
class_empirical,6,0.1325,0.8674999999999999
class_empirical,7,0.1345,0.8654999999999999
class_empirical,8,0.181,0.819
class_empirical,9,0.197,0.8029999999999999
