strategy,class,style_compatible_rate,wrong_style_rate
global_gaussian,0,0.0795,0.9205
global_gaussian,1,0.123,0.877
global_gaussian,2,0.1205,0.8795
global_gaussian,3,0.0965,0.9035
global_gaussian,4,0.084,0.916
global_gaussian,5,0.0975,0.9025
global_gaussian,6,0.0865,0.9135
global_gaussian,7,0.1245,0.8755
global_gaussian,8,0.0925,0.9075
global_gaussian,9,0.0985,0.9015
class_mean,0,1.0,0.0
class_mean,1,1.0,0.0
class_mean,2,1.0,0.0
class_mean,3,1.0,0.0
class_mean,4,1.0,0.0
class_mean,5,1.0,0.0
class_mean,6,1.0,0.0
class_mean,7,1.0,0.0
class_mean,8,1.0,0.0
class_mean,9,1.0,0.0
class_diag_t0.25,0,1.0,0.0
class_diag_t0.25,1,1.0,0.0
class_diag_t0.25,2,1.0,0.0
class_diag_t0.25,3,1.0,0.0
class_diag_t0.25,4,1.0,0.0
class_diag_t0.25,5,1.0,0.0
class_diag_t0.25,6,1.0,0.0
class_diag_t0.25,7,1.0,0.0
class_diag_t0.25,8,1.0,0.0
class_diag_t0.25,9,1.0,0.0
class_diag_t0.50,0,1.0,0.0
class_diag_t0.50,1,1.0,0.0
class_diag_t0.50,2,1.0,0.0
class_diag_t0.50,3,1.0,0.0
class_diag_t0.50,4,1.0,0.0
class_diag_t0.50,5,1.0,0.0
class_diag_t0.50,6,1.0,0.0
class_diag_t0.50,7,1.0,0.0
class_diag_t0.50,8,1.0,0.0
class_diag_t0.50,9,1.0,0.0
class_empirical,0,0.995,0.0050000000000000044
class_empirical,1,0.9895,0.010499999999999954
class_empirical,2,0.9985,0.0014999999999999458
class_empirical,3,1.0,0.0
class_empirical,4,1.0,0.0
class_empirical,5,1.0,0.0
class_empirical,6,1.0,0.0
class_empirical,7,0.998,0.0020000000000000018
class_empirical,8,1.0,0.0
class_empirical,9,1.0,0.0
