strategy,class,style_compatible_rate,wrong_style_rate
global_gaussian,0,0.1275,0.8725
global_gaussian,1,0.1285,0.8714999999999999
global_gaussian,2,0.0715,0.9285
global_gaussian,3,0.088,0.912
global_gaussian,4,0.0655,0.9345
global_gaussian,5,0.054,0.946
global_gaussian,6,0.1265,0.8734999999999999
global_gaussian,7,0.1375,0.8625
global_gaussian,8,0.1,0.9
global_gaussian,9,0.1195,0.8805000000000001
class_mean,0,1.0,0.0
class_mean,1,1.0,0.0
class_mean,2,1.0,0.0
class_mean,3,1.0,0.0
class_mean,4,0.0,1.0
class_mean,5,0.0,1.0
class_mean,6,1.0,0.0
class_mean,7,1.0,0.0
class_mean,8,1.0,0.0
class_mean,9,1.0,0.0
class_diag_t0.25,0,0.3655,0.6345000000000001
class_diag_t0.25,1,0.3165,0.6835
class_diag_t0.25,2,0.1425,0.8575
class_diag_t0.25,3,0.231,0.769
class_diag_t0.25,4,0.089,0.911
class_diag_t0.25,5,0.0715,0.9285
class_diag_t0.25,6,0.196,0.804
class_diag_t0.25,7,0.2995,0.7005
class_diag_t0.25,8,0.167,0.833
class_diag_t0.25,9,0.176,0.8240000000000001
class_diag_t0.50,0,0.248,0.752
class_diag_t0.50,1,0.2035,0.7965
class_diag_t0.50,2,0.1055,0.8945
class_diag_t0.50,3,0.1555,0.8445
class_diag_t0.50,4,0.0765,0.9235
class_diag_t0.50,5,0.0545,0.9455
class_diag_t0.50,6,0.1555,0.8445
class_diag_t0.50,7,0.215,0.785
class_diag_t0.50,8,0.1295,0.8705
class_diag_t0.50,9,0.1525,0.8475
class_empirical,0,0.4335,0.5665
class_empirical,1,0.3855,0.6145
class_empirical,2,0.23,0.77
class_empirical,3,0.2895,0.7105
class_empirical,4,0.2965,0.7035
class_empirical,5,0.128,0.872
class_empirical,6,0.257,0.743
class_empirical,7,0.32,0.6799999999999999
class_empirical,8,0.2265,0.7735
class_empirical,9,0.2735,0.7264999999999999
